 #         t_pb[s]        <L_e>[B/s]       <L_ae>[B/s]        <L_x>[B/s]        <E_e>[MeV]       <E_ae>[MeV]        <E_x>[MeV]    L_e(pole)[B/s]   L_ae(pole)[B/s]    L_x(pole)[B/s]    E_e(pole)[MeV]   E_ae(pole)[MeV]    E_x(pole)[MeV]     L_e(equ)[B/s]    L_ae(equ)[B/s]     L_x(equ)[B/s]     E_e(equ)[MeV]    E_ae(equ)[MeV]     E_x(equ)[MeV]
   7.774400059E-03   5.686416239E+00   1.406985536E-02   1.703529812E-01   1.544971194E+01   1.071024245E+01   1.755350979E+01   6.111167412E+00   1.569676809E-02   1.968911432E-01   1.533127726E+01   1.107540144E+01   1.756146242E+01   5.384787178E+00   1.543761890E-02   1.643156591E-01   1.576816642E+01   1.063164269E+01   1.768885832E+01
   8.174600080E-03   5.490613251E+00   1.644948204E-02   1.672299662E-01   1.523580260E+01   1.074145451E+01   1.748582996E+01   5.761853838E+00   2.044582578E-02   1.936974720E-01   1.535007951E+01   1.107457593E+01   1.768084704E+01   5.401210774E+00   1.524349265E-02   1.745902096E-01   1.505426104E+01   1.039402635E+01   1.725285493E+01
   8.574799635E-03   5.208324579E+00   1.864528183E-02   1.641917918E-01   1.495599417E+01   1.073034497E+01   1.742559933E+01   5.671235246E+00   1.918466695E-02   1.801789943E-01   1.510267069E+01   1.091909440E+01   1.726734965E+01   5.748784188E+00   1.897189563E-02   1.528703661E-01   1.491631437E+01   1.000624928E+01   1.731155323E+01
   8.897599764E-03   4.919973043E+00   2.051037629E-02   1.623517533E-01   1.468876510E+01   1.072025189E+01   1.739096852E+01   5.277214890E+00   2.303730230E-02   1.811489922E-01   1.493933843E+01   1.085455349E+01   1.798927535E+01   4.846390044E+00   1.941996263E-02   1.517078540E-01   1.448925426E+01   1.032916719E+01   1.740451806E+01
   9.297800250E-03   4.616078844E+00   2.334917778E-02   1.618919300E-01   1.438297143E+01   1.070824305E+01   1.733356431E+01   5.048645585E+00   2.906105047E-02   1.730288643E-01   1.474797212E+01   1.084616988E+01   1.704540098E+01   4.476089709E+00   2.566859618E-02   1.583452359E-01   1.454859260E+01   1.049747875E+01   1.738941566E+01
   9.697999805E-03   4.308312988E+00   2.675492196E-02   1.634843648E-01   1.407534991E+01   1.073804210E+01   1.726424758E+01   4.716595492E+00   2.982642219E-02   1.826048626E-01   1.369112376E+01   1.091897924E+01   1.788539222E+01   4.380819321E+00   2.849951198E-02   1.582038864E-01   1.402857343E+01   1.073577571E+01   1.777085693E+01
   1.009820029E-02   4.065370483E+00   3.066925646E-02   1.668994569E-01   1.385125348E+01   1.075904579E+01   1.720178236E+01   4.788573350E+00   3.663190019E-02   1.690339096E-01   1.333525907E+01   1.079344515E+01   1.793031960E+01   3.913092689E+00   2.835144795E-02   1.652659634E-01   1.388795581E+01   1.088466212E+01   1.684229047E+01
   1.049839985E-02   3.867681303E+00   3.438074333E-02   1.715165617E-01   1.364927792E+01   1.077773905E+01   1.716191370E+01   4.560143280E+00   4.238786579E-02   2.158119374E-01   1.319659627E+01   1.049330083E+01   1.651092021E+01   3.824308757E+00   3.524716974E-02   1.827698898E-01   1.353354057E+01   1.071227218E+01   1.714474044E+01
   1.089859940E-02   3.741225897E+00   3.757766342E-02   1.766955948E-01   1.352951137E+01   1.076235564E+01   1.711234734E+01   4.628776700E+00   4.900983972E-02   1.970301686E-01   1.332076916E+01   1.082797771E+01   1.675429788E+01   3.827064103E+00   3.927997157E-02   1.832815720E-01   1.369100950E+01   1.096952967E+01   1.740912317E+01
   1.129880082E-02   3.640221709E+00   4.043820855E-02   1.834507089E-01   1.345166757E+01   1.070072121E+01   1.707678142E+01   4.198782792E+00   4.839206241E-02   2.153992471E-01   1.345574307E+01   1.067287507E+01   1.713194816E+01   3.923551541E+00   4.084190662E-02   2.022791832E-01   1.329602952E+01   1.068771203E+01   1.769836677E+01
   1.169900037E-02   3.534681309E+00   4.249388926E-02   1.912707323E-01   1.337721769E+01   1.063555197E+01   1.703132917E+01   4.703856874E+00   5.288749826E-02   2.305660746E-01   1.294717956E+01   1.064020229E+01   1.665900243E+01   3.393541787E+00   3.954020744E-02   1.777811548E-01   1.347602302E+01   1.072059224E+01   1.661434336E+01
